,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
986,851,774
987,841,727
988,808,727
989,840,783
990,868,762
991,813,786
992,1163,1030
993,1241,1080
994,1158,989
995,1272,1038
996,1290,1096
997,1295,979
998,1281,996
999,1196,987
1000,1207,984
1001,1327,1126
1002,1263,1037
1003,1336,1056
1004,1186,1130
1005,1231,1014
1006,1207,1068
1007,1283,1132
1008,1244,1027
1009,1206,1114
1010,1294,1023
1011,1209,1071
1012,1276,1074
1013,1261,1110
1014,1209,1064
1015,1247,1019
1016,1241,1089
1017,1169,1075
1018,1178,990
1019,1276,1057
1020,1309,1003
1021,1248,1030
1022,1276,1108
1023,1328,1048
1024,1235,1115
1025,1297,1124
1026,1299,1120
1027,1252,1096
1028,1327,1063
1029,1260,1076
1030,1322,1089
1031,1300,1062
1032,1314,1122
1033,1208,1013
1034,1224,1070
1035,1246,1029
1036,1162,1061
1037,1177,1003
1038,1249,1000
1039,1147,1020
1040,1203,1090
1041,1224,1061
1042,1246,1055
1043,1392,1126
1044,1324,1085
1045,1286,1142
1046,1302,1112
1047,1210,1110
1048,1289,1077
1049,1326,1130
1050,1284,1139
1051,1343,1123
1052,1311,1111
1053,1380,1122
1054,1299,1161
1055,1236,1147
1056,1285,1068
1057,1336,1071
1058,1286,1089
1059,1201,1007
1060,1253,1078
1061,1149,1063
1062,1295,1046
1063,1245,1078
1064,1136,1017
1065,1202,1107
1066,1168,1008
1067,1163,1000
1068,1222,1070
1069,1255,1072
1070,1285,1023
1071,1288,1143
1072,1338,1123
1073,1270,1130
1074,1336,1152
1075,1310,1136
1076,1305,1098
1077,1275,1166
1078,1287,1183
1079,1275,1137
1080,1335,1163
1081,1358,1038
1082,1310,1048
1083,1406,1216
1084,1335,1165
1085,1288,1132
1086,1318,1079
1087,1309,1104
1088,1221,1095
1089,1253,1125
1090,1286,1148
1091,1296,1119
1092,1251,1078
1093,1162,1092
1094,1252,1070
1095,1176,1007
1096,1118,1056
1097,1124,1015
1098,1190,1009
1099,1130,1085
1100,1275,976
1101,1325,1062
1102,1244,1130
1103,1359,1090
1104,1281,1154
1105,1382,1198
1106,1321,1103
1107,1467,1169
1108,1349,1191
1109,1383,1065
1110,1318,1211
1111,1414,1199
1112,1352,1144
1113,1417,1152
1114,1396,1136
1115,1255,1098
1116,1295,1215
1117,1385,1159
1118,1349,1162
1119,1382,1083
1120,1296,1153
1121,1315,1133
1122,1318,1076
1123,1279,1066
1124,1231,1095
1125,1207,1081
1126,1154,1070
1127,1250,1102
1128,1249,1070
1129,1124,1037
1130,1263,1057
1131,1208,1134
1132,1298,1105
1133,1423,1125
1134,1357,1133
1135,1306,1139
1136,1349,1143
1137,1371,1185
1138,1380,1235
1139,1344,1171
1140,1361,1165
1141,1317,1114
1142,1324,1137
1143,1368,1255
1144,1424,1176
1145,1341,1166
1146,1381,1274
1147,1351,1242
1148,1393,1264
1149,1396,1234
1150,1440,1250
1151,1358,1229
1152,1266,1171
1153,1293,1145
1154,1311,1149
1155,1380,1128
1156,1357,1097
1157,1288,1113
1158,1259,1144
1159,1298,1180
1160,1267,1058
1161,1277,1014
1162,1246,1093
1163,1183,1054
1164,1272,929
1165,735,670
1166,774,638
1167,728,699
1168,722,640
1169,683,671
1170,745,641
1171,701,665
1172,1187,1027
1173,1231,1003
1174,1200,1059
1175,1208,1046
1176,1346,1083
1177,1283,1154
1178,1262,1172
1179,1335,1183
1180,1371,1186
1181,1399,1098
1182,1293,1182
1183,1366,1139
1184,1388,1145
1185,1455,1194
1186,1368,1239
1187,1418,1124
1188,1336,1298
1189,1376,1177
1190,1448,1173
1191,1425,1177
1192,1443,1280
1193,1417,1154
1194,1405,1235
1195,1301,1185
1196,1334,1238
1197,1480,1103
1198,1397,1228
1199,1412,1215
1200,1299,1111
1201,1282,1184
1202,1398,1242
1203,1251,1143
1204,1385,1086
1205,1249,1092
1206,1275,1065
1207,1235,1091
1208,1247,1044
1209,1178,970
1210,686,673
1211,695,633
1212,740,675
1213,738,671
1214,750,636
1215,701,659
1216,760,702
1217,775,658
1218,774,687
1219,712,629
1220,764,667
1221,704,654
1222,1179,979
1223,1250,1043
1224,1155,1051
1225,1315,1043
1226,1150,1063
1227,1297,1121
1228,1266,1117
1229,1412,1185
1230,1222,1237
1231,1446,1172
1232,1276,1051
1233,1381,1127
1234,1462,1171
1235,1528,1175
1236,1451,1239
1237,1374,1339
1238,1376,1225
1239,1403,1157
1240,1365,1255
1241,1338,1213
1242,1409,1232
1243,1494,1228
1244,1393,1299
1245,1463,1272
1246,1442,1208
1247,1410,1183
1248,1367,1192
1249,1419,1229
1250,1374,1231
1251,1427,1162
1252,1343,1253
1253,1347,1209
1254,1305,1131
1255,1282,1171
1256,1281,1021
1257,1396,1127
1258,1258,963
1259,1153,1131
1260,1146,1083
1261,1161,993
1262,660,652
1263,655,657
1264,732,651
1265,756,599
1266,760,686
1267,758,694
1268,800,658
1269,777,680
1270,777,661
1271,800,603
1272,762,670
1273,719,679
1274,757,659
1275,788,692
1276,755,683
1277,764,685
1278,1151,1006
1279,1228,1104
1280,1127,1051
1281,1295,1027
1282,1291,1185
1283,1335,1245
1284,1227,1190
1285,1314,1119
1286,1350,1171
1287,1360,1192
1288,1512,1256
1289,1409,1181
1290,1382,1201
1291,1368,1195
1292,1379,1228
1293,1421,1216
1294,1562,1309
1295,1450,1253
1296,1429,1177
1297,1455,1241
1298,1514,1172
1299,1430,1170
1300,1475,1259
1301,1466,1216
1302,1391,1222
1303,1531,1139
1304,1377,1214
1305,1442,1156
1306,1374,1085
1307,1441,1229
1308,1398,1113
1309,1305,1147
1310,1437,1147
1311,1368,1078
1312,1377,1166
1313,1360,1138
1314,1276,1175
1315,1182,1026
1316,1179,1020
1317,1235,1019
1318,672,622
1319,713,672
1320,795,629
1321,750,616
1322,761,685
1323,854,668
1324,824,655
1325,801,726
1326,766,642
1327,773,760
1328,822,676
1329,802,720
1330,769,708
1331,770,657
1332,775,653
1333,781,597
1334,793,655
1335,695,653
1336,1124,935
1337,1214,1143
1338,1224,1113
1339,1246,969
1340,1242,1107
1341,1347,1161
1342,1282,1114
1343,1277,1200
1344,1430,1141
1345,1334,1118
1346,1417,1181
1347,1398,1318
1348,1506,1181
1349,1416,1234
1350,1432,1221
1351,1459,1236
1352,1388,1220
1353,1397,1172
1354,1485,1222
1355,1558,1269
1356,1489,1249
1357,1553,1276
1358,1505,1247
1359,1385,1218
1360,1505,1199
1361,1437,1205
1362,1455,1140
1363,1359,1200
1364,1356,1228
1365,1383,1193
1366,1373,1147
1367,1427,1199
1368,1374,1157
1369,1338,1159
1370,1380,1184
1371,1307,1175
1372,1407,1070
1373,1336,1116
1374,1309,1055
1375,1353,1086
1376,1317,998
1377,1147,1033
1378,740,654
1379,733,691
1380,767,678
1381,727,653
1382,808,686
1383,832,690
1384,807,726
1385,758,720
1386,921,723
1387,864,695
1388,913,706
1389,776,672
1390,836,763
1391,810,719
1392,819,728
1393,813,699
1394,766,671
1395,723,728
1396,701,649
1397,1192,1110
1398,1266,1059
1399,1260,1159
1400,1269,1159
1401,1329,1022
1402,1335,1104
1403,1374,1175
1404,1298,1130
1405,1291,1226
1406,1506,1261
1407,1418,1190
1408,1532,1158
1409,1391,1219
1410,1408,1254
1411,1424,1330
1412,1556,1225
1413,1491,1167
1414,1495,1212
1415,1428,1184
1416,1514,1260
1417,1366,1302
1418,1442,1214
1419,1517,1195
1420,1386,1242
1421,1511,1277
1422,1482,1242
1423,1433,1172
1424,1427,1221
1425,1386,1191
1426,1442,1252
1427,1370,1220
1428,1389,1173
1429,1372,1177
1430,1403,1211
1431,1315,1151
1432,1495,1197
1433,1310,1174
1434,1269,1152
1435,1218,1052
1436,1315,1052
1437,1233,1065
