,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
1228,4781,1585
1229,4796,1520
1230,4567,1590
1231,4422,1559
1232,4495,1543
1233,4153,1408
1234,4192,1389
1235,3883,1424
1236,3751,1339
1237,3372,1233
1238,2850,1043
1239,3120,1190
1240,3313,1178
1241,3457,1289
1242,3757,1336
1243,3927,1360
1244,4155,1494
1245,4207,1428
1246,4540,1450
1247,4534,1425
1248,4426,1417
1249,4670,1397
1250,4632,1462
1251,4615,1632
1252,4603,1561
1253,4716,1642
1254,4642,1562
1255,4597,1541
1256,4784,1642
1257,4576,1568
1258,4583,1472
1259,4517,1537
1260,4420,1553
1261,4448,1467
1262,4207,1331
1263,4035,1337
1264,3839,1391
1265,3592,1257
1266,3352,1217
1267,3123,1071
1268,2708,1134
1269,2277,1026
1270,2914,1063
1271,3176,1117
1272,3404,1229
1273,3637,1330
1274,3775,1229
1275,3962,1316
1276,4160,1469
1277,4330,1468
1278,4322,1466
1279,4408,1552
1280,4577,1493
1281,4617,1442
1282,4947,1499
1283,4847,1639
1284,5062,1570
1285,4871,1568
1286,4889,1613
1287,5066,1626
1288,5084,1630
1289,5103,1654
1290,5024,1658
1291,5031,1671
1292,5068,1612
1293,4848,1623
1294,4907,1536
1295,4851,1615
1296,4737,1596
1297,4597,1629
1298,4633,1525
1299,4437,1635
1300,4249,1519
1301,4242,1457
1302,4112,1432
1303,3662,1326
1304,3478,1332
1305,2830,1016
1306,2934,1088
1307,3252,1166
1308,3509,1214
1309,3642,1411
1310,3852,1377
1311,4094,1390
1312,4217,1312
1313,4279,1457
1314,4489,1390
1315,4507,1384
1316,4597,1505
1317,4556,1529
1318,4590,1524
1319,4652,1535
1320,4534,1533
1321,4468,1521
1322,4337,1536
1323,4554,1516
1324,4628,1503
1325,4431,1523
1326,4421,1401
1327,4272,1522
1328,4049,1388
1329,4024,1484
1330,3965,1359
1331,3771,1235
1332,3661,1297
1333,3171,1266
1334,2868,1130
1335,2589,1098
1336,2881,1059
1337,3379,1135
1338,3512,1185
1339,3663,1315
1340,3989,1290
1341,4098,1455
1342,4373,1442
1343,4365,1506
1344,4481,1437
1345,4673,1601
1346,4681,1499
1347,4717,1529
1348,4816,1660
1349,5020,1670
1350,4911,1603
1351,4816,1655
1352,4929,1646
1353,5187,1717
1354,5110,1754
1355,4902,1666
1356,5096,1714
1357,5115,1575
1358,5111,1596
1359,4988,1662
1360,5047,1733
1361,4792,1691
1362,4887,1640
1363,5011,1606
1364,4687,1507
1365,4704,1532
1366,4503,1534
1367,4299,1577
1368,4207,1487
1369,3910,1338
1370,3811,1359
1371,2583,989
1372,2924,1176
1373,3204,1229
1374,3446,1275
1375,3744,1271
1376,3695,1368
1377,3864,1387
1378,4097,1329
1379,4036,1458
1380,4265,1372
1381,4555,1423
1382,4383,1427
1383,4463,1548
1384,4612,1439
1385,4587,1487
1386,4355,1571
1387,4574,1519
1388,4511,1459
1389,4375,1562
1390,4462,1530
1391,4470,1513
1392,4317,1410
1393,4268,1432
1394,4195,1469
1395,3950,1472
1396,3732,1264
1397,3674,1351
1398,3510,1274
1399,3186,1194
1400,2912,1083
1401,2615,1018
1402,2882,1128
1403,3212,1053
1404,3436,1111
1405,3454,1270
1406,3763,1294
1407,3892,1354
1408,4095,1462
1409,4215,1401
1410,4460,1450
1411,4552,1549
1412,4774,1557
1413,4851,1602
1414,4998,1625
1415,4936,1645
1416,5154,1659
1417,5050,1655
1418,4968,1712
1419,5152,1753
1420,5093,1704
1421,5144,1660
1422,5022,1635
1423,5051,1647
1424,4887,1741
1425,4833,1659
1426,5156,1536
1427,4985,1678
1428,4998,1587
1429,4839,1605
1430,4808,1621
1431,4723,1642
1432,4650,1512
1433,4587,1538
1434,4334,1493
1435,4157,1482
1436,3925,1408
1437,3722,1261
1438,2814,1026
1439,2964,1128
1440,3202,1118
1441,3378,1258
1442,3662,1213
1443,3912,1296
1444,4109,1313
1445,4134,1370
1446,4178,1435
1447,4288,1399
1448,4359,1490
1449,4435,1438
1450,4343,1416
1451,4379,1585
1452,4674,1399
1453,4622,1508
1454,4226,1434
1455,4416,1533
1456,4343,1494
1457,4341,1416
1458,4177,1491
1459,4094,1469
1460,4071,1364
1461,3708,1375
1462,3717,1319
1463,3434,1249
1464,3157,1246
1465,2988,1170
1466,2560,1135
1467,2423,966
1468,2837,1039
1469,3119,1028
1470,3375,1229
1471,3677,1298
1472,3858,1300
1473,3934,1359
1474,4115,1459
1475,4217,1460
1476,4485,1414
1477,4487,1541
1478,4812,1542
1479,5026,1615
1480,4973,1653
1481,4975,1676
1482,5003,1615
1483,4980,1694
1484,5086,1743
1485,5081,1674
1486,5210,1645
1487,5258,1683
1488,5164,1696
1489,5239,1627
1490,5342,1650
1491,5113,1681
1492,5113,1729
1493,5049,1708
1494,4929,1586
1495,4991,1567
1496,4931,1597
1497,4757,1528
