,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
1589,610,721
1590,643,731
1591,665,796
1592,651,871
1593,625,914
1594,674,1017
1595,697,1014
1596,666,1024
1597,633,970
1598,675,901
1599,620,831
1600,638,696
1601,591,791
1602,655,853
1603,666,980
1604,699,1208
1605,645,1465
1606,683,1523
1607,691,1520
1608,656,1518
1609,634,1460
1610,661,1370
1611,623,1139
1612,620,1019
1613,672,796
1614,614,713
1615,652,735
1616,666,934
1617,650,1202
1618,698,1522
1619,667,1699
1620,699,1903
1621,717,1977
1622,704,1991
1623,673,1855
1624,704,1897
1625,688,1799
1626,661,1710
1627,662,1572
1628,623,1191
1629,649,846
1630,647,717
1631,684,754
1632,699,893
1633,689,1299
1634,707,1610
1635,697,1757
1636,715,2023
1637,699,2226
1638,728,2257
1639,705,2166
1640,741,2199
1641,709,2383
1642,692,2281
1643,684,2044
1644,672,1759
1645,648,1617
1646,677,1199
1647,570,843
1648,643,719
1649,633,874
1650,637,1324
1651,625,1632
1652,721,1940
1653,690,2119
1654,744,2325
1655,711,2442
1656,734,2495
1657,730,2655
1658,784,2712
1659,702,2663
1660,737,2499
1661,691,2336
1662,663,2124
1663,699,1874
1664,690,1574
1665,654,1200
1666,566,903
1667,600,696
1668,630,799
1669,668,1040
1670,671,1554
1671,686,1908
1672,763,2147
1673,724,2470
1674,713,2526
1675,768,2641
1676,737,2828
1677,750,2754
1678,718,2876
1679,761,2921
1680,750,2715
1681,681,2506
1682,738,2551
1683,665,2270
1684,628,1989
1685,643,1498
1686,650,1053
1687,604,718
1688,697,915
1689,671,1301
1690,653,1808
1691,743,2080
1692,682,2430
1693,761,2532
1694,770,2757
1695,695,2845
1696,779,2919
1697,731,3133
1698,819,3066
1699,695,2983
1700,796,2774
1701,759,2674
1702,658,2492
1703,688,2377
1704,690,2110
1705,623,1751
1706,607,1185
1707,635,853
1708,652,691
1709,671,937
1710,655,1509
1711,723,1962
1712,684,2137
1713,792,2452
1714,712,2695
1715,711,2847
1716,730,2971
1717,755,2961
1718,746,3008
1719,777,2997
1720,729,3048
1721,743,2943
1722,717,2889
1723,792,2707
1724,731,2521
1725,685,2277
1726,710,2051
1727,686,1466
1728,634,920
1729,620,658
1730,634,808
1731,652,1087
1732,669,1709
1733,683,2006
1734,720,2325
1735,731,2575
1736,721,2796
1737,742,2881
1738,713,2934
1739,775,3203
1740,723,3077
1741,740,3300
1742,710,3275
1743,734,3147
1744,683,3096
1745,793,2808
1746,707,2665
1747,707,2455
1748,651,2164
1749,608,1700
1750,617,1045
1751,605,688
1752,668,824
1753,640,1190
1754,655,1674
1755,738,2105
1756,784,2331
1757,807,2513
1758,741,2866
1759,802,3030
