,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
773,687,628
774,659,637
775,647,731
776,644,738
777,624,819
778,710,802
779,734,719
780,652,732
781,670,729
782,680,690
783,653,585
784,693,643
785,681,599
786,690,636
787,699,633
788,703,631
789,690,636
790,679,672
791,666,717
792,665,715
793,684,749
794,705,748
795,641,752
796,718,671
797,634,694
798,664,659
799,672,643
800,722,676
801,697,594
802,685,622
803,687,612
804,678,570
805,638,602
806,682,625
807,702,672
808,706,709
809,725,704
810,697,708
811,688,728
812,736,696
813,701,670
814,743,609
815,662,613
816,689,638
817,664,612
818,638,632
819,674,582
820,690,656
821,717,656
822,691,708
823,664,706
824,650,680
825,718,657
826,748,709
827,701,712
828,728,617
829,752,618
830,673,625
831,663,592
832,676,618
833,675,622
834,656,633
835,659,625
836,715,628
837,707,689
838,682,710
839,655,657
840,651,653
841,743,598
842,629,639
843,682,610
844,686,633
845,659,631
846,653,597
847,653,570
848,698,621
849,685,599
850,708,593
851,633,615
852,687,574
853,720,619
854,689,649
855,695,642
856,735,673
857,674,611
858,701,652
859,688,635
860,654,610
861,689,587
862,672,604
863,682,561
864,739,574
865,668,635
866,718,606
867,734,609
868,721,633
869,673,621
870,686,588
871,715,633
872,675,657
873,665,608
874,679,640
875,625,610
876,683,611
877,731,592
878,679,620
879,731,580
880,720,612
881,688,640
882,706,601
883,708,580
884,741,581
885,730,616
886,647,619
887,700,595
888,687,603
889,651,599
890,726,597
891,658,596
892,727,598
893,712,625
894,674,629
895,676,587
896,670,585
897,690,621
898,660,618
899,719,604
900,648,629
901,727,638
902,700,632
903,685,584
904,674,616
905,670,604
906,623,591
907,669,599
908,662,625
909,683,603
910,699,634
911,694,611
912,718,616
913,658,634
914,695,598
915,691,631
916,675,640
917,682,592
918,739,632
919,630,639
920,658,617
921,695,591
922,658,605
923,660,622
924,673,636
925,673,715
926,673,739
927,703,642
928,652,651
929,691,662
930,697,577
931,701,620
932,725,579
933,782,653
934,666,591
935,661,573
936,720,613
937,702,596
938,713,664
939,692,677
940,691,756
941,668,713
942,695,622
943,713,637
944,718,622
945,730,602
946,706,558
947,643,587
948,649,554
949,720,594
950,660,620
951,688,628
952,703,670
953,674,689
954,773,691
955,734,705
956,636,658
957,675,647
958,688,561
959,687,603
960,698,627
961,658,631
962,635,589
963,659,610
964,706,618
965,722,632
966,691,652
967,704,716
968,655,639
969,682,633
970,678,693
971,710,616
972,697,610
973,677,643
974,703,609
975,673,617
976,700,608
977,693,636
978,663,671
979,674,688
980,696,601
981,706,643
982,691,655
983,704,647
984,745,652
985,732,599
986,674,613
987,697,598
988,719,581
989,704,623
990,692,616
991,708,627
992,688,620
993,701,605
994,663,576
995,671,638
996,679,533
997,696,570
998,700,607
999,691,621
1000,667,605
1001,687,607
1002,671,584
1003,679,593
1004,742,640
1005,728,578
1006,693,623
1007,736,589
1008,664,618
1009,636,579
1010,695,595
1011,716,614
1012,656,645
1013,695,598
1014,757,574
1015,817,712
1016,777,716
1017,809,687
1018,823,732
1019,820,768
1020,797,722
1021,863,738
1022,821,744
1023,809,732
1024,785,738
1025,825,758
1026,879,776
1027,825,672
1028,774,785
1029,866,778
1030,834,771
1031,845,751
1032,828,756
1033,792,722
1034,882,756
1035,845,734
1036,820,654
1037,899,700
1038,893,753
1039,842,732
1040,827,699
1041,769,702
1042,832,752
1043,830,742
1044,844,718
1045,872,802
1046,858,736
1047,827,763
1048,874,731
1049,817,725
1050,851,766
1051,858,754
1052,900,726
1053,836,753
1054,892,778
1055,875,731
1056,813,757
1057,854,808
1058,811,739
1059,793,772
1060,807,705
1061,861,687
1062,801,675
1063,860,737
1064,852,739
1065,809,769
1066,862,701
1067,895,760
1068,842,753
1069,879,720
1070,827,776
1071,875,738
1072,840,699
1073,832,678
1074,869,760
1075,834,785
1076,870,742
1077,921,760
1078,814,784
1079,875,768
1080,905,794
1081,837,723
1082,755,707
1083,874,724
1084,830,665
1085,826,736
1086,874,760
1087,855,729
1088,839,727
1089,839,730
1090,849,717
1091,834,742
1092,857,731
1093,833,751
1094,881,748
1095,883,725
1096,833,785
1097,791,784
1098,875,825
1099,876,767
1100,814,867
1101,896,773
1102,850,758
1103,816,783
1104,936,798
1105,842,728
1106,891,745
1107,876,790
1108,988,844
1109,890,798
1110,840,762
1111,847,760
1112,801,772
1113,886,719
1114,816,734
1115,818,663
1116,853,723
1117,832,744
1118,861,756
1119,836,731
1120,825,725
1121,963,762
1122,828,796
1123,794,791
1124,870,751
1125,869,770
1126,897,776
1127,888,793
1128,897,750
1129,966,852
1130,891,767
1131,823,777
1132,868,742
1133,895,808
1134,916,837
1135,892,772
1136,917,727
1137,896,737
1138,883,799
1139,847,776
1140,943,758
1141,811,729
1142,831,773
1143,858,741
1144,847,783
1145,808,735
1146,819,717
1147,852,740
1148,864,748
1149,854,712
1150,876,729
1151,831,723
1152,864,807
1153,929,736
1154,864,777
1155,870,763
1156,892,792
1157,835,765
1158,847,753
1159,865,816
1160,904,778
1161,945,732
1162,899,805
1163,918,752
1164,786,769
1165,896,768
1166,928,777
1167,958,810
1168,834,760
1169,867,746
1170,907,751
1171,907,830
1172,863,730
1173,871,737
1174,840,784
1175,913,783
1176,867,740
1177,817,759
1178,800,744
1179,870,743
1180,829,680
1181,887,736
1182,870,786
1183,873,779
1184,931,834
1185,907,811
1186,929,829
1187,870,801
1188,897,825
1189,883,776
1190,952,790
1191,883,818
1192,849,718
1193,926,789
1194,945,769
1195,876,761
1196,968,797
1197,952,794
1198,932,816
1199,891,879
1200,892,798
1201,905,849
1202,873,805
1203,890,781
1204,877,782
1205,933,707
1206,883,784
1207,835,684
1208,837,704
1209,813,771
1210,866,698
1211,814,720
1212,862,735
1213,835,726
1214,902,698
1215,824,772
1216,848,785
1217,854,761
1218,897,739
1219,969,766
1220,911,769
1221,925,741
1222,837,793
1223,868,834
1224,916,756
1225,937,760
1226,898,832
1227,913,771
1228,882,845
1229,882,800
1230,911,861
1231,848,809
1232,928,827
1233,894,773
1234,894,765
1235,941,774
1236,921,808
1237,910,789
1238,876,796
1239,855,774
1240,866,795
1241,855,814
1242,908,783
1243,875,811
1244,827,743
1245,797,744
1246,879,751
1247,819,698
1248,833,722
1249,845,740
1250,840,749
1251,869,763
1252,876,774
1253,892,833
1254,892,737
1255,927,784
1256,858,784
1257,860,849
1258,875,736
1259,1004,789
1260,828,824
1261,937,832
1262,891,849
1263,988,828
1264,856,780
1265,898,803
1266,861,860
1267,887,828
1268,860,800
1269,882,861
1270,882,732
1271,923,812
1272,901,832
1273,922,824
1274,925,788
1275,870,758
1276,950,769
1277,883,812
1278,925,722
1279,859,769
1280,846,763
1281,917,741
1282,853,733
1283,877,745
1284,825,689
1285,815,723
1286,847,744
1287,916,755
1288,828,796
1289,853,807
1290,861,771
1291,895,780
1292,807,842
1293,866,833
1294,865,795
1295,889,811
1296,984,814
1297,909,824
1298,871,843
1299,1001,805
1300,853,789
1301,1003,867
1302,937,846
1303,935,797
1304,877,790
1305,950,815
1306,916,856
1307,927,798
1308,892,799
1309,866,844
1310,886,849
1311,879,838
1312,938,843
1313,936,862
1314,872,787
1315,857,799
1316,828,804
1317,906,788
1318,870,779
1319,871,747
1320,796,767
1321,775,737
1322,842,739
1323,831,709
1324,828,793
1325,804,797
1326,910,748
1327,922,759
1328,855,706
1329,809,796
1330,877,797
1331,946,763
1332,880,790
1333,875,832
1334,846,815
1335,889,810
1336,937,783
1337,899,815
1338,927,879
1339,898,806
1340,899,857
1341,936,907
1342,913,825
1343,897,833
1344,997,874
1345,952,834
1346,893,843
1347,976,749
1348,906,887
1349,967,865
1350,912,805
1351,947,838
1352,858,752
1353,931,800
1354,854,772
1355,933,750
1356,927,728
1357,888,853
1358,860,789
1359,846,730
1360,820,749
1361,797,684
1362,822,761
1363,860,711
1364,794,732
1365,830,744
1366,871,774
1367,930,785
1368,919,752
1369,894,770
1370,804,830
1371,893,760
1372,909,826
1373,890,802
1374,861,810
1375,919,832
1376,901,788
1377,873,891
1378,907,818
1379,953,842
1380,922,892
1381,975,914
1382,948,838
1383,948,892
1384,846,762
1385,901,817
1386,993,848
1387,954,823
1388,934,754
1389,896,847
1390,916,754
1391,931,831
1392,907,768
1393,921,793
1394,883,818
1395,880,868
1396,913,817
1397,865,873
1398,877,738
1399,812,795
1400,871,684
1401,801,692
1402,861,704
1403,944,741
1404,850,800
1405,895,723
1406,824,713
1407,853,754
1408,962,818
1409,969,775
1410,975,800
1411,886,758
1412,860,858
1413,913,908
1414,950,793
1415,939,836
1416,973,780
1417,981,802
1418,935,896
1419,932,768
1420,846,828
1421,1030,816
1422,876,827
1423,869,835
1424,982,883
1425,968,793
1426,919,812
1427,893,860
1428,911,784
1429,970,824
1430,992,785
1431,932,849
1432,887,788
1433,937,796
1434,891,801
1435,898,809
1436,839,784
1437,848,795
1438,900,814
1439,857,790
1440,876,792
1441,829,741
1442,832,684
1443,809,738
1444,785,748
1445,841,755
1446,805,702
1447,889,782
1448,840,766
1449,898,806
1450,920,832
1451,931,778
1452,837,781
1453,832,804
1454,936,836
1455,926,808
1456,880,804
1457,1015,807
1458,952,797
1459,938,889
1460,964,835
1461,930,797
1462,934,817
1463,932,921
1464,919,911
1465,900,810
1466,978,933
1467,941,894
1468,961,818
1469,970,804
1470,887,837
1471,917,803
1472,822,846
1473,921,816
1474,915,868
1475,894,868
1476,922,846
1477,854,716
1478,887,757
1479,871,746
1480,871,795
1481,854,807
1482,883,752
1483,824,761
1484,798,723
1485,866,708
1486,830,729
1487,873,793
1488,833,838
1489,897,818
1490,925,782
1491,868,817
1492,917,808
1493,834,806
1494,878,767
1495,865,855
1496,925,874
1497,993,758
1498,954,826
1499,952,839
1500,1011,807
1501,903,792
1502,998,850
1503,923,869
