,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
811,4091,1392
812,4177,1428
813,4114,1483
814,3870,1397
815,3868,1439
816,4044,1406
817,3816,1235
818,3720,1412
819,3692,1285
820,3553,1226
821,3392,1197
822,3303,1307
823,3171,1167
824,2997,1227
825,2709,1105
826,2378,1042
827,2092,910
828,2049,951
829,2227,1030
830,2578,991
831,2796,1098
832,3022,1219
833,3189,1291
834,3519,1283
835,3586,1299
836,3583,1353
837,3652,1310
838,3867,1244
839,3861,1387
840,3821,1423
841,3954,1467
842,3841,1418
843,4052,1472
844,4134,1488
845,4063,1485
846,3930,1372
847,3975,1391
848,3827,1343
849,3731,1403
850,3642,1336
851,3501,1321
852,3477,1214
853,3215,1274
854,3083,1170
855,2987,1168
856,2632,1049
857,2507,1036
858,2176,985
859,2045,900
860,2334,1039
861,2631,1117
862,2925,1114
863,3024,1191
864,3344,1225
865,3353,1397
866,3471,1301
867,3707,1314
868,3736,1357
869,3836,1447
870,3852,1327
871,4028,1398
872,3982,1377
873,3930,1426
874,3920,1455
875,3981,1354
876,4083,1435
877,3936,1408
878,3831,1336
879,3853,1295
880,3738,1296
881,3685,1334
882,3529,1290
883,3512,1374
884,3281,1226
885,3153,1200
886,3030,1153
887,2608,1097
888,2333,1025
889,2060,951
890,2079,930
891,2370,1035
892,2597,1074
893,2828,1167
894,3052,1216
895,3311,1248
896,3482,1308
897,3552,1249
898,3571,1278
899,3760,1351
900,3768,1238
901,3981,1266
902,4078,1484
903,3877,1464
904,4058,1406
905,4294,1422
906,3992,1373
907,3910,1421
908,3934,1333
909,3960,1288
910,3812,1285
911,3710,1378
912,3721,1282
913,3586,1261
914,3472,1225
915,3392,1220
916,3102,1145
917,2875,1139
918,2641,1137
919,2397,975
920,2104,957
921,2358,1071
922,2482,1079
923,2674,1098
924,3013,1206
925,3167,1151
926,3291,1279
927,3442,1303
928,3551,1263
929,3754,1399
930,3859,1453
931,3955,1325
932,3930,1386
933,4035,1412
934,4166,1373
935,4054,1386
936,3866,1358
937,3963,1386
938,3905,1394
939,3904,1372
940,3778,1375
941,3550,1317
942,3636,1269
943,3598,1250
944,3293,1241
945,3281,1296
946,2941,1213
947,2717,1156
948,2488,1071
949,2385,1026
950,2029,938
951,2118,1034
952,2482,1011
953,2717,1015
954,2883,1209
955,3195,1232
956,3352,1299
957,3498,1272
958,3656,1341
959,3673,1319
960,3694,1342
961,3713,1374
962,3849,1421
963,4029,1432
964,3854,1399
965,3875,1325
966,3891,1374
967,4049,1303
968,3830,1376
969,3610,1361
970,3736,1354
971,3671,1313
972,3778,1285
973,3566,1298
974,3274,1185
975,3183,1198
976,3001,1176
977,2853,1176
978,2535,1119
979,2318,985
980,1949,935
981,2248,999
982,2338,1067
983,2573,1090
984,3019,1064
