,CY3_Intensity,GFP_Intensity,Label
93543,30703,12321,3
93544,30310,12184,3
93545,30350,12349,3
93546,30673,12344,3
93547,31297,12713,3
93548,32213,12791,3
93549,32827,12677,3
93550,33046,12787,3
93551,33884,13006,3
93552,34867,13406,3
93553,35378,13516,3
93554,36434,13225,3
93555,37536,13853,3
93556,38401,13661,3
93557,39058,13735,3
93558,40046,13702,3
93559,40661,14136,3
93560,41316,14208,3
93561,41570,14136,3
93562,42591,14536,3
93563,43320,14609,3
93564,44157,14500,3
93565,44048,14391,3
93566,44485,14645,3
93567,45501,14823,3
93568,45396,14864,3
93569,45906,14791,3
93570,46453,15228,3
93571,46967,15124,3
93572,47832,15296,3
93573,48083,15255,3
93574,48237,15192,3
93575,48425,15160,3
93576,48488,15406,3
93577,49512,15337,3
93578,50132,15739,3
93579,49917,15379,3
93580,50860,15884,3
93581,50241,15629,3
93582,50751,15847,3
93583,50934,15739,3
93584,51330,15698,3
93585,51958,15415,3
93586,51407,15811,3
93587,51594,15816,3
93588,52250,15888,3
93589,52140,16471,3
93590,52755,16322,3
93591,52718,16139,3
93592,52573,15920,3
93593,53301,16139,3
93594,53885,16284,3
93595,53520,16322,3
93596,53480,16062,3
93597,53301,15847,3
93598,53480,15879,3
93599,53957,16322,3
93600,53593,15956,3
93601,53738,16358,3
93602,54285,16030,3
93603,54285,16322,3
93604,53119,16139,3
93605,54394,16248,3
93606,54249,16103,3
93607,54977,16284,3
93608,54285,16248,3
93609,55087,16394,3
93610,53880,15988,3
93611,54181,16216,3
93612,54317,16426,3
93613,54759,16322,3
93614,55092,16435,3
93615,53853,16326,3
93616,54358,16139,3
93617,53593,15847,3
93618,54140,16212,3
93619,54540,16175,3
93620,54103,15993,3
93621,54504,16212,3
93622,54321,16139,3
93623,53265,15775,3
93624,54253,16399,3
93625,53738,16394,3
93626,53666,16066,3
93627,53706,16216,3
93628,53629,15993,3
93629,53051,15852,3
93630,52569,16098,3
93631,52573,15847,3
93632,53557,15702,3
93633,53010,15775,3
93634,52541,15925,3
93635,52177,16035,3
93636,52532,15952,3
93637,51553,15483,3
93638,51958,15998,3
93639,51590,15847,3
93640,50934,15483,3
93641,51147,15624,3
93642,50606,15665,3
93643,50464,15343,3
93644,49581,15187,3
93645,49695,15520,3
93646,49476,15301,3
93647,48966,15155,3
93648,48675,15884,3
93649,48671,15442,3
93650,48425,15379,3
93651,47400,15337,3
93652,47764,15119,3
93653,47290,14973,3
93654,47113,15124,3
93655,46598,14973,3
93656,46634,15083,3
93657,45478,14581,3
93658,44448,14681,3
93659,44048,14572,3
93660,43720,14063,3
93661,43356,14572,3
93662,41898,14136,3
93663,42300,14317,3
93664,41353,14172,3
93665,41753,14026,3
93666,40223,13735,3
93667,39203,13625,3
93668,38365,13661,3
93669,37532,13593,3
93670,36248,13110,3
93671,35997,13078,3
93672,35450,12968,3
93673,34430,12859,3
93674,34030,12968,3
93675,33228,12751,3
93676,32687,12828,3
93677,32536,12640,3
93678,31917,12130,3
93679,31333,12787,3
93680,30865,12245,3
93681,30095,12349,3
93682,30789,12505,3
93683,31668,12510,3
93684,31699,12431,3
93685,32345,12788,3
93686,32687,12946,3
93687,33707,13311,3
93688,34034,13056,3
93689,34691,13057,3
93690,36149,13347,3
93691,37096,13492,3
93692,37465,13716,3
93693,38588,13529,3
93694,39313,13779,3
93695,40002,14103,3
93696,40414,13971,3
93697,41649,14184,3
93698,42231,14296,3
93699,42155,13963,3
93700,42957,14291,3
93701,44054,14914,3
93702,44381,14731,3
93703,44489,14405,3
93704,45511,14585,3
93705,46167,15096,3
93706,46311,14878,3
93707,46603,15242,3
93708,46457,14841,3
93709,47295,14768,3
93710,47515,15096,3
93711,48098,15204,3
93712,48535,15570,3
93713,49444,15642,3
93714,48899,15496,3
93715,49481,15423,3
93716,49298,15897,3
93717,49518,15788,3
93718,50215,15757,3
93719,50355,15388,3
93720,50866,15606,3
93721,51448,15496,3
93722,51375,15825,3
93723,51813,16153,3
93724,51845,15710,3
93725,51776,15970,3
93726,51812,15715,3
93727,51739,15897,3
93728,51917,16076,3
93729,52651,16115,3
93730,52795,16044,3
93731,52942,16298,3
93732,53635,16116,3
93733,52469,16297,3
93734,52495,15961,3
93735,53196,16224,3
93736,53848,16220,3
93737,54071,16005,3
93738,53415,15970,3
93739,53667,16002,3
93740,54326,16516,3
93741,53926,16224,3
93742,54254,16334,3
93743,54179,16553,3
93744,53447,16292,3
93745,53998,16262,3
93746,53196,16408,3
93747,54259,16449,3
93748,54102,16183,3
93749,54107,16005,3
93750,54291,16115,3
93751,54363,16189,3
93752,53780,15934,3
93753,54107,16005,3
93754,54582,16115,3
93755,53599,16153,3
93756,54067,16330,3
93757,53634,15933,3
93758,54582,16408,3
93759,53560,16043,3
93760,53415,16408,3
93761,52760,15969,3
93762,52724,16444,3
93763,53303,16439,3
93764,52647,15820,3
93765,53926,15605,3
93766,52723,16116,3
93767,52577,15969,3
93768,52431,15825,3
93769,52140,16043,3
93770,52792,16147,3
93771,52718,16183,3
93772,52141,16080,3
93773,51413,15897,3
93774,50869,15756,3
93775,51044,16001,3
93776,50719,15678,3
93777,50138,15570,3
93778,49334,15278,3
93779,50318,16006,3
93780,49955,15751,3
93781,49840,15529,3
93782,49148,15310,3
93783,48570,15241,3
93784,48243,15169,3
93785,47869,14979,3
93786,47510,15018,3
93787,48015,15269,3
93788,47299,15101,3
93789,45839,14659,3
93790,45547,14477,3
93791,45984,14950,3
93792,45370,14663,3
93793,44708,14732,3
93794,44636,14731,3
93795,44125,14403,3
93796,43179,13931,3
93797,42597,14221,3
93798,41727,14482,3
93799,41759,14076,3
93800,41174,14112,3
93801,39795,13681,3
93802,38990,13602,3
93803,38661,13711,3
93804,37677,13494,3
93805,36549,13237,3
93806,35821,12947,3
93807,35314,13097,3
93808,34614,12686,3
93809,34071,13129,3
93810,33671,12947,3
93811,32578,12509,3
93812,32396,12435,3
93813,32215,12509,3
