,CY3_Intensity,GFP_Intensity,Label
476,9333,25909,3
477,9109,24993,3
478,8786,24197,3
479,8344,23863,3
480,8198,22771,3
481,8126,22079,3
482,7506,21386,3
483,6850,20366,3
484,6631,19163,3
485,6195,18508,3
486,7210,19716,3
487,7364,20343,3
488,7464,21024,3
489,8129,22377,3
490,8557,22732,3
491,8452,24045,3
492,9107,24482,3
493,9101,24986,3
494,9230,25792,3
495,9470,26154,3
496,9797,26299,3
497,9937,27349,3
498,10051,27426,3
499,10487,28045,3
500,10233,28481,3
501,10378,29535,3
502,10596,28445,3
503,10524,29026,3
504,10743,29389,3
505,10811,29603,3
506,11210,29822,3
507,10847,30003,3
508,11215,30699,3
509,11394,30621,3
510,11430,30875,3
511,11320,31422,3
512,11179,31462,3
513,11320,30840,3
514,11439,31059,3
515,11539,31639,3
516,11288,31390,3
517,11471,31280,3
518,11394,30731,3
519,11070,31534,3
520,11030,31277,3
521,11357,31749,3
522,11579,31316,3
523,11325,30989,3
524,11247,30657,3
525,11215,31025,3
526,11252,30517,3
527,10852,30334,3
528,11033,29900,3
529,10997,29972,3
530,10992,29859,3
531,10743,29389,3
532,10342,28736,3
533,10233,28662,3
534,9905,28008,3
535,10046,27968,3
536,10124,27609,3
537,10051,26953,3
538,9428,26840,3
539,9470,26371,3
540,9179,25900,3
541,8811,24841,3
542,8629,23968,3
543,8520,23786,3
544,8052,22555,3
545,7470,21866,3
546,7070,20556,3
547,6705,19356,3
548,6342,18739,3
549,6991,19388,3
550,7498,20478,3
551,8049,21868,3
552,8086,22522,3
553,8597,23252,3
554,8703,23758,3
555,8884,24741,3
556,9218,24454,3
557,9253,25839,3
558,9582,26678,3
559,9618,27006,3
560,10129,27552,3
561,9942,27694,3
562,10639,28208,3
563,10348,28720,3
564,10712,28575,3
565,10529,28756,3
566,10781,29335,3
567,10529,29922,3
568,11150,30250,3
569,10926,30319,3
570,11328,30210,3
571,11333,30323,3
572,11222,30979,3
573,11261,31197,3
574,11256,31010,3
575,11584,31485,3
576,11625,31161,3
577,11772,31271,3
578,11625,31636,3
579,11772,31453,3
580,12063,31563,3
581,11625,31780,3
582,11553,31016,3
583,11661,31489,3
584,11589,31490,3
585,11698,31709,3
586,11405,31489,3
587,11516,31561,3
588,11479,31234,3
589,11182,31812,3
590,11146,31229,3
591,11222,30797,3
592,11296,30360,3
593,11077,30470,3
594,10858,30287,3
595,10967,30140,3
596,10748,29668,3
597,10639,29302,3
598,10567,28501,3
599,10420,28538,3
600,10093,28028,3
601,10019,27078,3
602,9983,27480,3
603,9618,27188,3
