,CY3_Intensity,GFP_Intensity,Label
626,7340,17390,1
627,7630,17719,1
628,8030,19096,1
629,8361,19501,1
630,8391,19932,1
631,8973,20984,1
632,9081,22000,1
633,9263,21819,1
634,9848,22876,1
635,9843,23052,1
636,9917,23707,1
637,10279,23960,1
638,10496,24685,1
639,10464,24943,1
640,10645,24873,1
641,10714,25557,1
642,10822,25739,1
643,10787,26246,1
644,11003,26209,1
645,11185,26608,1
646,11517,27049,1
647,11371,26904,1
648,11404,27190,1
649,11512,27153,1
650,11584,27842,1
651,11626,27847,1
652,11549,27481,1
653,11771,27811,1
654,11946,27842,1
655,11711,27825,1
656,11697,28138,1
657,11947,28206,1
658,11876,27842,1
659,12097,27992,1
660,11729,28097,1
661,11725,27875,1
662,11658,27770,1
663,11584,28097,1
664,11694,27336,1
665,11511,28062,1
666,11656,27842,1
667,11476,27516,1
668,11404,27626,1
669,11438,28061,1
670,11076,27334,1
671,11189,27304,1
672,11335,27050,1
673,10937,26541,1
674,10895,26537,1
675,10859,26282,1
676,10678,26465,1
677,10351,25556,1
678,10388,25448,1
679,10205,25376,1
680,10170,24759,1
681,9806,24286,1
682,9480,24359,1
683,9629,23601,1
684,9190,23235,1
685,8978,22694,1
686,8831,21713,1
687,8396,21314,1
688,7888,20409,1
689,7236,19138,1
690,6800,18483,1
691,6396,17282,1
692,6466,15971,1
693,6610,15934,1
694,6829,16987,1
695,7446,17496,1
696,7478,17745,1
697,7840,17999,1
698,8239,19596,1
699,8643,20327,1
700,8819,20976,1
701,9041,22142,1
702,9549,22541,1
703,9654,22791,1
704,9912,23485,1
705,10202,24356,1
706,10388,24180,1
707,10456,24865,1
708,10928,25663,1
709,10601,25735,1
710,11072,26135,1
711,11218,26534,1
712,11104,26530,1
713,11327,26498,1
714,11512,27083,1
715,11649,27582,1
716,11689,27550,1
717,11653,27550,1
718,11726,27987,1
719,11762,27732,1
720,11934,27687,1
721,11762,28167,1
722,11871,28059,1
723,11867,28127,1
724,11943,28313,1
725,11943,28640,1
726,11907,28204,1
727,11799,28748,1
728,11689,28313,1
729,11689,28349,1
730,12016,28240,1
731,12016,28495,1
732,12125,28349,1
733,11979,28313,1
734,11758,28527,1
735,11544,28495,1
736,11947,28281,1
737,11721,28127,1
738,11726,27950,1
739,11617,27696,1
740,11580,27623,1
741,11435,27370,1
742,11508,27878,1
743,11368,27047,1
744,11181,26933,1
745,11109,27079,1
746,10928,26753,1
747,10678,26248,1
748,10819,25772,1
749,10601,25446,1
750,10347,24938,1
751,10165,25264,1
752,9839,24392,1
753,9876,24428,1
754,9518,23671,1
755,9187,23775,1
756,9001,22500,1
757,8461,22142,1
758,8424,21525,1
759,7913,20468,1
760,7736,19564,1
761,7046,18475,1
762,6534,17200,1
763,6439,16265,1
764,6399,16477,1
765,6907,17020,1
766,7051,17383,1
767,7486,18072,1
768,7921,18652,1
769,8361,19744,1
770,8679,20750,1
771,8761,21011,1
772,9086,21338,1
773,9516,22820,1
774,9739,23078,1
775,10240,24197,1
776,10277,24124,1
777,10495,24703,1
778,10967,24705,1
779,10640,25430,1
780,10966,25755,1
781,10822,25718,1
782,11334,26375,1
783,11334,26739,1
784,11547,27350,1
785,11008,27426,1
786,11737,27757,1
787,11547,28112,1
788,11987,28223,1
789,12059,28549,1
790,11763,28981,1
791,12162,28582,1
792,12053,28473,1
793,11874,28581,1
794,12095,28986,1
795,11982,28582,1
796,12204,28913,1
797,12204,28513,1
798,12380,28764,1
799,12382,29089,1
800,12344,29379,1
801,12199,29306,1
802,12058,29021,1
803,12089,28835,1
804,11946,28763,1
805,11691,28872,1
806,11913,28805,1
807,11945,28328,1
808,12241,28587,1
809,11841,28514,1
810,12058,28370,1
811,12167,28223,1
812,12203,29095,1
813,11624,28332,1
814,11475,27965,1
815,11366,27640,1
816,11547,27423,1
817,11366,27459,1
818,11189,27137,1
819,10826,26739,1
820,10935,26123,1
821,10640,26770,1
822,10750,25319,1
823,10278,25609,1
824,10392,25289,1
825,10242,24741,1
826,9702,24527,1
827,9377,24237,1
828,9304,23911,1
829,8968,22851,1
830,8868,22425,1
831,8252,21303,1
832,7632,20463,1
833,7559,19485,1
834,7129,18075,1
835,6293,17098,1
836,6562,16142,1
837,6822,16546,1
838,7330,17054,1
839,7433,17884,1
840,7872,18362,1
841,8163,19448,1
842,8525,20501,1
843,8816,21298,1
844,9470,21986,1
845,9687,22386,1
846,9760,23546,1
847,9978,23800,1
848,10444,24084,1
849,10485,25141,1
850,10589,25173,1
851,10590,25681,1
852,10994,26048,1
853,11137,26120,1
854,11393,26518,1
855,11067,27606,1
856,11537,27571,1
857,11533,27857,1
858,11864,27462,1
859,11864,27932,1
860,12191,28658,1
861,12077,28037,1
862,11933,29487,1
863,12003,29307,1
864,11859,28654,1
865,12108,28911,1
866,12082,28657,1
867,11901,29384,1
868,12275,29437,1
869,12404,29198,1
870,12476,29742,1
871,12444,29312,1
872,12372,29382,1
873,12516,29564,1
874,12258,29632,1
875,12299,29491,1
876,12294,29632,1
877,12300,28621,1
878,12693,29235,1
879,12112,28908,1
880,12335,29165,1
881,12227,29203,1
882,12153,29094,1
883,12080,29239,1
884,11827,28839,1
885,11900,28441,1
886,11900,28803,1
887,11828,28331,1
888,11719,28332,1
889,11678,28255,1
890,11506,27322,1
891,11211,27752,1
892,11355,27571,1
893,11169,27167,1
894,10994,27243,1
895,10559,26808,1
896,10522,26265,1
897,10123,25613,1
898,9969,25858,1
899,9718,24592,1
900,10010,24810,1
901,9361,24380,1
902,9360,23582,1
903,9360,22965,1
904,8739,22019,1
905,8345,21334,1
906,7946,20680,1
907,7506,19371,1
908,7147,18216,1
909,6563,17266,1
910,6565,16158,1
911,6892,16707,1
912,6893,17108,1
913,7664,17841,1
914,7806,18313,1
915,8173,19594,1
916,8644,20318,1
917,9045,21341,1
918,9520,22179,1
919,9665,22616,1
920,9737,23273,1
921,9998,23970,1
922,10271,24477,1
923,10759,25096,1
924,10576,25606,1
925,10900,26113,1
926,11234,25899,1
927,11161,26774,1
928,11233,27029,1
929,11458,27689,1
930,11448,27702,1
931,11667,27719,1
932,11927,27796,1
933,11635,28524,1
934,12287,28957,1
935,11749,28821,1
936,11818,29107,1
937,12109,29363,1
938,12363,29619,1
939,12071,29218,1
940,12180,29289,1
941,12583,29837,1
942,12551,30097,1
943,12509,30348,1
944,12551,29988,1
945,12578,30197,1
946,12582,29984,1
947,12546,30129,1
948,12586,30096,1
949,12619,29982,1
950,12108,29764,1
951,12468,30087,1
952,12437,29801,1
953,12359,29249,1
954,11994,29541,1
955,12509,29837,1
956,12328,29619,1
957,11885,29541,1
958,12067,29578,1
959,12363,29618,1
960,12128,29195,1
961,12176,28702,1
962,12072,28815,1
963,12109,28780,1
964,11603,28129,1
965,11780,27978,1
966,11453,28123,1
967,11378,27467,1
968,11233,27467,1
969,11234,27138,1
970,10687,26956,1
971,10687,26591,1
972,11093,26123,1
973,10322,26044,1
974,10138,25096,1
975,10144,25939,1
976,9957,24767,1
977,9669,23897,1
978,9227,23673,1
979,8971,23018,1
980,8681,22142,1
981,8608,21449,1
982,7936,20476,1
983,7440,19516,1
984,6967,18166,1
985,6747,17290,1
986,6618,15768,1
987,6658,16463,1
988,6917,17158,1
989,7240,17736,1
990,7789,18285,1
991,8252,19620,1
992,8619,20351,1
993,8837,21512,1
994,9309,21912,1
995,9636,22529,1
996,9781,23873,1
997,9889,24200,1
998,10180,24491,1
999,10435,25217,1
1000,10611,25611,1
1001,11083,26520,1
1002,11164,26347,1
1003,11524,26706,1
1004,11451,26779,1
1005,11233,27105,1
1006,11414,28086,1
1007,11451,28086,1
