,Cy3 Pixel Values (Arb.U.),FITC Pixel Values (Arb.U.)
1005,994,682
1006,894,738
1007,751,633
1008,800,671
1009,902,651
1010,1032,670
1011,1065,684
1012,1137,731
1013,1066,746
1014,1250,759
1015,1188,786
1016,1266,694
1017,1305,777
1018,1271,763
1019,1299,690
1020,1251,763
1021,1174,776
1022,1213,769
1023,1092,729
1024,998,695
1025,1064,716
1026,856,703
1027,730,611
1028,790,646
1029,890,614
1030,972,730
1031,1078,674
1032,1146,728
1033,1139,714
1034,1290,731
1035,1297,729
1036,1259,769
1037,1283,714
1038,1307,788
1039,1217,744
1040,1204,704
1041,1205,757
1042,1128,746
1043,1042,744
1044,1013,747
1045,921,659
1046,772,672
1047,793,618
1048,719,649
1049,835,595
1050,937,663
1051,1005,714
1052,1021,661
1053,1148,681
1054,1213,779
1055,1200,731
1056,1275,750
1057,1211,728
1058,1238,757
1059,1203,721
1060,1214,758
1061,1212,763
1062,1040,723
1063,1025,684
1064,1008,725
1065,903,680
1066,792,611
1067,775,626
1068,829,643
1069,936,699
1070,986,704
1071,1159,706
1072,1169,713
1073,1076,683
1074,1062,779
1075,1170,715
1076,1165,775
1077,1140,691
1078,1114,724
1079,1121,671
1080,1020,679
1081,949,715
1082,855,697
1083,801,676
1084,784,605
1085,703,572
1086,760,597
1087,917,583
1088,930,680
1089,1012,701
1090,1046,681
1091,1067,715
1092,1107,718
1093,1072,684
1094,1077,687
1095,1083,746
1096,1014,760
1097,1074,718
1098,1044,702
1099,856,643
1100,869,640
1101,761,700
1102,755,600
1103,744,638
1104,859,663
1105,924,714
1106,910,646
1107,991,713
1108,1109,704
1109,996,703
1110,1050,729
1111,984,705
1112,947,698
1113,928,700
1114,879,679
1115,763,687
1116,737,602
1117,765,606
1118,782,627
1119,757,686
1120,845,626
1121,1013,672
1122,881,635
1123,864,644
1124,916,694
1125,961,686
1126,893,673
1127,814,643
1128,774,655
1129,774,605
1130,706,606
1131,715,625
1132,727,626
1133,784,623
1134,834,635
1135,772,663
1136,849,609
1137,763,633
1138,773,619
1139,749,626
1140,758,635
1141,766,636
1142,851,669
1143,751,635
1144,746,648
1145,741,607
1146,796,662
1147,783,664
1148,850,660
1149,823,646
1150,820,735
1151,886,643
1152,880,625
1153,834,645
1154,799,654
1155,830,611
1156,799,599
1157,792,652
1158,752,595
1159,791,643
1160,808,677
1161,885,652
1162,930,742
1163,871,633
1164,895,626
1165,950,720
1166,929,723
1167,928,647
1168,915,632
1169,796,697
1170,840,650
1171,694,646
1172,807,603
1173,769,593
1174,703,632
1175,795,649
1176,822,650
1177,916,629
1178,960,657
1179,954,713
1180,1009,705
1181,995,698
1182,924,699
1183,914,699
1184,958,743
1185,948,651
1186,869,626
1187,866,655
1188,758,600
1189,721,613
1190,786,614
1191,803,638
1192,907,604
1193,948,645
1194,1005,625
1195,971,673
1196,1027,722
1197,1011,694
1198,1012,709
1199,1068,711
1200,1027,659
1201,938,651
1202,1008,661
1203,971,666
1204,868,712
1205,879,660
1206,689,610
1207,674,623
1208,819,653
1209,850,674
1210,871,636
1211,919,640
1212,953,730
1213,992,671
1214,1099,718
1215,1005,740
1216,1022,716
1217,1070,690
1218,1098,681
1219,1093,712
1220,1018,729
1221,998,621
1222,907,665
1223,914,659
1224,822,640
1225,752,663
1226,692,590
1227,804,681
1228,875,661
1229,909,732
1230,1015,694
1231,1011,658
1232,1061,697
1233,1023,695
1234,1156,749
1235,1011,718
1236,1111,692
1237,1157,735
1238,1077,718
1239,1011,722
1240,962,688
1241,958,670
1242,913,715
1243,841,663
1244,806,585
1245,669,578
1246,805,636
1247,859,567
1248,987,633
1249,921,722
1250,973,674
1251,1066,692
1252,1097,759
1253,1061,728
1254,1127,670
1255,1149,711
1256,1091,757
1257,1055,712
1258,1078,736
1259,1046,708
1260,1070,728
1261,1001,619
1262,941,653
1263,862,595
1264,824,630
1265,693,588
1266,767,619
1267,862,642
1268,940,667
1269,978,669
1270,1072,670
1271,1106,701
1272,1174,650
1273,1089,725
1274,1116,720
1275,1135,721
1276,1203,783
1277,1155,697
1278,1074,735
1279,998,657
1280,987,703
1281,965,719
1282,1015,678
1283,904,625
1284,744,629
1285,746,610
1286,755,552
1287,734,596
1288,904,650
1289,985,634
1290,975,696
1291,1093,708
1292,1017,661
1293,1097,776
1294,1234,684
1295,1076,765
1296,1101,748
1297,1119,727
1298,1069,726
1299,1096,650
1300,1088,688
1301,1042,699
1302,1040,666
1303,970,713
1304,855,591
1305,816,613
1306,758,580
1307,706,587
1308,788,647
1309,893,673
1310,914,698
1311,927,650
1312,1010,712
1313,1047,717
1314,1109,689
1315,1056,713
1316,1221,746
1317,1029,754
1318,1142,743
